continent;location;date;total_cases;new_cases;total_deaths;new_deaths;icu_patients;hosp_patients;weekly_icu_admissions;weekly_hosp_admissions;new_tests;total_tests;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;population;median_age;gdp_per_capita;extreme_poverty;diabetes_prevalence;female_smokers;male_smokers
Asia;Afghanistan;15/11/2021;156610;58;7294;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;16/11/2021;156649;39;7295;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;17/11/2021;156739;90;7297;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;18/11/2021;156739;0;7297;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;19/11/2021;156812;73;7299;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;20/11/2021;156864;52;7301;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;21/11/2021;156896;32;7303;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;22/11/2021;156911;15;7303;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;23/11/2021;157015;104;7305;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;24/11/2021;157032;17;7306;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;25/11/2021;157144;112;7307;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;26/11/2021;157171;27;7307;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;27/11/2021;157190;19;7308;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;28/11/2021;157218;28;7308;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;29/11/2021;157260;42;7308;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;30/11/2021;157289;29;7308;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;1/12/2021;157359;70;7309;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;2/12/2021;157387;28;7310;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;3/12/2021;157412;25;7311;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;4/12/2021;157431;19;7312;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;5/12/2021;157454;23;7312;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;6/12/2021;157499;45;7316;4;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;7/12/2021;157508;9;7317;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;8/12/2021;157542;34;7319;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;9/12/2021;157585;43;7321;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;10/12/2021;157603;18;7324;3;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;11/12/2021;157611;8;7325;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;12/12/2021;157633;22;7328;3;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;13/12/2021;157648;15;7328;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;14/12/2021;157660;12;7329;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;15/12/2021;157665;5;7331;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;16/12/2021;157725;60;7332;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;17/12/2021;157734;9;7332;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;18/12/2021;157745;11;7333;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;19/12/2021;157787;42;7335;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;20/12/2021;157797;10;7335;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;21/12/2021;157816;19;7335;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;22/12/2021;157841;25;7341;6;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;23/12/2021;157878;37;7346;5;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;24/12/2021;157887;9;7348;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;25/12/2021;157895;8;7349;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;26/12/2021;157951;56;7354;5;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;27/12/2021;157967;16;7354;0;;;;;;;;46745180;41428570;37532240;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;28/12/2021;157998;31;7355;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;29/12/2021;158037;39;7356;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;30/12/2021;158056;19;7356;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;31/12/2021;158084;28;7356;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;1/1/2022;158107;23;7356;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;2/1/2022;158189;82;7361;5;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;3/1/2022;158183;-6;7364;3;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;4/1/2022;158205;22;7365;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;5/1/2022;158245;40;7367;2;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;6/1/2022;158275;30;7367;0;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;7/1/2022;158300;25;7368;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;8/1/2022;158309;9;7369;1;;;;;;;;;;;;39835428;18,6;1803987;;9,59;;
Asia;Afghanistan;9/1/2022;158381;72;7373;4;;;;;;;;49033680;43585700;38093530;;39835428;18,6;1803987;;9,59;;
